Sp_Class,u_mag,g_mag,r_mag,i_mag,z_mag,RA,Dec
DAB,16.617,16.48,16.675,16.93,17.143,556.249,404.899
DA+M,20.271,19.445,18.632,17.574,16.923,55.658.255,1.149.526
DA,20.417,20.157,20.338,20.587,20.507,55.669.323,-7.584.447
DA,19.856,19.561,19.834,20.132,20.329,55.695.734,-5.337.089
DA_auto,20.809,20.499,20.584,20.736,21.158,55.698.143,39.291
DA,20.52,20.388,20.727,20.924,21.354,5.572.576,-14.127
DA,20.52,20.388,20.727,20.924,21.354,5.572.576,-14.127
DA:,20.315,19.853,19.645,19.627,19.705,55.742.205,-351.117
DA:,20.315,19.853,19.645,19.627,19.705,55.742.205,-351.117
DA,18.282,17.862,17.932,18.065,18.245,5.574.258,-5.228.627
DAH,19.505,19.467,19.6,19.819,19.927,55.784.084,-6.690.936
DA,19.044,18.698,18.965,19.218,19.46,55.789.598,-6.142.244
DA:+sdK:,19.791,19.417,19.01,18.712,18.533,55.864.705,-7.534.271
DC,19.64,19.563,19.721,19.874,20.023,5.600.562,-205.836
DA,18.274,17.856,17.826,17.984,18.092,56.040.355,-232.841
DA,18.274,17.856,17.826,17.984,18.092,56.040.355,-232.841
WD+M,21.965,21.247,20.264,18.45,17.598,56.103.019,-1.200.301
DA,16.527,16.777,17.231,17.546,17.867,56.117.797,-637.249
DA,16.527,16.777,17.231,17.546,17.867,56.117.797,-637.249
DA,17.569,17.588,17.958,18.25,18.649,5.616.481,-627.286
DA_auto,19.904,19.421,19.483,19.592,19.657,56.165.852,-908.414
DA,19.478,19.009,19.175,19.369,19.519,56.267.572,-603.735
DA,19.478,19.009,19.175,19.369,19.519,56.267.572,-603.735
DAH,19.059,18.625,18.489,18.508,18.528,56.296.242,578.924
DAH,19.059,18.625,18.489,18.508,18.528,56.296.242,578.924
DAH,19.059,18.625,18.489,18.508,18.528,56.296.242,578.924
DA,19.16,18.642,18.559,18.534,18.624,56.415.497,-6.696.277
DA,18.738,18.314,18.246,18.27,18.326,56.471.962,-6.855.083
DA,19.382,19.057,19.154,19.267,19.407,56.633.265,-6.867.585
DA,19.705,19.145,19.126,19.149,19.163,56.733.519,-6.033.818
DB,19.105,19.042,19.188,19.359,19.627,56.924.815,1.139.948
DA+M,19.876,19.62,19.592,18.954,18.365,57.129.516,-6.233.494
DAO,15.153,15.494,15.917,16.236,16.498,5.713.056,771.195
PG1159,17.246,17.657,17.967,18.273,18.493,57.322.533,-988.674
DA_auto,20.151,19.647,19.589,19.583,19.617,57.341.642,921.834
DA:+M:,22.014,21.235,21.129,20.555,19.911,57.656.394,-6.505.468
DA+M,19.937,19.825,19.8,19.481,19.018,58.233.812,-144.925
DA,16.893,17.058,17.45,17.749,18.044,58.810.551,-4.825.059
DB,18.7,18.73,18.964,19.195,19.266,59.072.909,-6.519.336
DA,18.991,18.538,18.763,18.971,19.216,59.392.097,-6.114.733
DA,20.066,19.559,19.342,19.313,19.321,59.502.864,-7.051.836
DA+M:,19.067,18.754,18.966,19.193,19.364,60.302.697,-5.016.442
DA,20.364,19.951,19.909,19.988,19.934,6.057.708,-5.753.051
DA,18.819,18.944,19.296,19.621,20.056,61.071.715,-5.702.737
DA,20.22,19.787,19.766,19.868,19.949,61.141.413,-4.890.777
DA,18,17.554,17.541,17.592,17.698,61.241.615,-5.390.043
DAE,20.646,20.214,20.117,20.14,20.37,61.854.308,-5.862.683
DA,20.565,20.297,20.521,20.663,20.933,62.007.034,-4.350.142
DA:,18.645,18.509,18.702,18.854,19.154,62.217.626,-4.917.982
DB_A:,19.042,19.307,19.688,19.964,20.136,6.222.751,-4.565.178
DA,20.361,20.072,20.152,20.273,20.341,62.543.618,-6.007.493
DC,20.093,19.875,19.777,19.825,20.03,62.546.409,-5.446.738
DA,18.89,18.532,18.708,18.873,19.165,62.691.478,-6.095.275
DA,18.57,18.896,19.246,19.382,19.32,62.723.478,-6.507.707
DA,19.991,19.618,19.874,20.047,20.259,62.772.692,-5.849.382
DA,20.538,20.133,20.284,20.393,20.866,62.926.167,-6.241.978
DZ,20.46,20.338,20.391,20.514,20.53,62.941.239,-5.813.464
DA,20.175,19.841,19.951,20.015,20.682,63.013.911,-5.067.287
DZ:,19.262,19.177,19.3,19.51,19.486,63.038.834,-5.675.288
DA_auto,,,,,,7.051.811,-13.666
DA_auto,,,,,,7.060.101,-38.266
DB,,,,,,7.101.878,4.863
DA_auto,,,,,,7.105.914,-93.764
DA_auto,,,,,,7.117.251,-52.816
DA_auto,,,,,,711.762,85.828
DA_auto,,,,,,711.774,44.313
DB:,,,,,,7.121.112,-1.16
DA_auto,,,,,,7.138.929,-1.825
DA_auto,,,,,,7.157.722,-24.717
DA_auto,,,,,,7.159.936,119.333
DA_auto,,,,,,7.171.684,88.237
DA_auto,,,,,,7.175.748,-15.396
DA_auto,,,,,,7.184.538,78.316
DA+M,,,,,,7.185.149,36.378
DA_auto,,,,,,7.195.041,112.867
DA_auto,,,,,,7.199.474,96.886
DA_auto,,,,,,7.199.706,-79.312
DA_auto,,,,,,7.208.141,30.392
DA_auto,,,,,,7.209.077,119.382
DA+M,,,,,,7.210.126,-121.161
DA_auto,,,,,,7.220.211,-12.824
DA_auto,,,,,,7.230.198,-35.427
DC:,,,,,,7.235.439,-33.751
DA_auto,,,,,,7.243.996,93.731
DA_auto,,,,,,7.253.738,89.432
DA_auto,,,,,,725.519,-72.765
DA_auto,,,,,,7.255.529,96.084
DA_auto,,,,,,7.257.174,-90.994
DQpec,,,,,,7.263.652,-49.989
DA_auto,,,,,,7.276.196,30.402
DA_auto,,,,,,7.301.418,-34.455
DA+M,,,,,,7.320.066,-65.958
DA_auto,,,,,,7.323.082,3.697
DA_auto,,,,,,7.323.315,-55.613
DA_auto,,,,,,7.342.459,3.528
DA_auto,19.323,19.25,19.615,19.841,20.072,111.048.192,39.016.732
DA_auto,18.986,18.492,18.62,18.813,19.033,111.190.322,38.845.796
DA_auto,19.94,19.502,19.299,19.313,19.392,11.137.755,38.854.176
DA_auto,19.588,19.109,19.061,19.118,19.311,111.490.151,38.780.503
DA_auto,17.476,17.781,18.256,18.564,18.944,111.532.987,39.853.349
DA_auto,19.208,18.85,18.892,18.987,19.182,111.643.285,3.991.112
DA_auto,20.28,19.869,20.054,20.326,20.363,111.775.538,38.727.842
DA_auto,19.51,19.008,19.085,19.256,19.451,111.998.082,39.599.825
DA_auto,19.574,18.971,19.169,19.355,19.614,112.259.521,39.411.712
DA_auto,20.277,19.862,19.794,19.795,19.761,112.352.151,3.905.858
DA,19.226,18.949,19.004,19.121,19.065,112.422.152,3.774.456
DA_auto,17.795,18.088,18.576,18.908,19.225,112.427.894,39.443.368
DA,20.565,20.204,20.38,20.546,20.353,112.537.444,37.270.421
DA_auto,20.509,20.199,20.444,20.684,21.247,112.570.868,38.255.598
DA_auto,19.645,19.485,19.741,19.928,20.116,112.605.809,41.031.639
DA+M,20.325,20.179,19.82,19.015,18.461,112.630.944,37.505.135
DB:,20.17,20.332,20.622,20.859,21.327,112.829.216,37.970.663
DA,18.337,17.94,18.056,18.248,18.466,112.872.256,37.245.801
DA_auto,19.987,19.455,19.337,19.303,19.244,112.927.594,40.587.764
DA_auto,20.402,19.971,20.156,20.196,20.636,112.991.938,38.788.133
DA_auto,20.027,20.015,20.355,20.654,20.737,113.071.729,31.986.662
DA,20.558,20.179,20.114,20.286,20.316,113.077.506,37.040.335
DA,20.368,19.967,19.908,19.851,19.897,113.149.532,37.904.822
DA,19.722,19.793,20.157,20.567,20.593,113.160.209,3.638.065
DA,19.076,19.136,19.538,19.838,20.125,113.194.876,31.903.047
DA+M,19.248,18.806,19.067,19.191,18.791,113.209.759,39.609.417
DC,19.204,19.092,19.111,19.267,19.368,11.337.164,36.422.741
DC:,20.572,20.188,20.122,20.171,20.225,113.392.476,37.459.953
DA,20.821,20.389,20.531,20.735,21.086,113.442.765,36.367.472
DB,20.115,20.144,20.392,20.684,20.681,113.482.789,38.339.068
DA_auto,19.123,18.769,19.014,19.309,19.664,113.487.461,28.523.279
DA_auto,20.494,20.395,20.643,20.857,20.885,1.135.009,29.700.965
DA,19.675,19.424,19.651,19.915,20.184,11.356.062,32.693.224
DA_auto,20.92,20.445,20.407,20.55,20.53,113.574.494,28.776.434
DA_auto,20.397,20.136,20.433,20.689,21.167,113.597.052,2.694.051
DA_auto,20.924,20.425,20.624,20.922,21.404,113.678.408,28.231.996
DA,19.332,18.924,18.824,18.801,18.883,113.720.235,38.050.437
DA+M,19.426,19.02,19.111,18.754,18.29,113.827.747,32.979.821
DA_auto,19.257,19.114,19.438,19.728,19.717,113.878.124,42.760.322
DA_auto,19.617,19.739,20.143,20.463,21.019,11.388.943,2.999.608
DA_auto,19.799,20.002,20.386,20.68,21.313,11.393.978,41.185.017
DA_auto,20.181,19.941,20.213,20.484,20.276,113.960.605,32.569.345
DA_auto,20.468,20.141,20.332,20.445,20.688,113.967.754,27.175.491
DB,19.517,19.57,19.937,20.155,20.157,1.139.678,36.776.326
DA_auto,19.998,19.613,19.779,19.811,19.889,114.002.818,32.041.785
DA_auto,20.622,20.181,20.105,20.091,20.133,114.024.496,37.821.323
DA_auto,20.448,20.128,20.375,20.709,20.859,114.042.444,29.852.137
DA_auto,20.326,19.898,19.979,20.01,20.35,114.045.874,32.473.625
DA,20.326,20.395,20.799,21.152,21.594,114.060.702,38.978.624
DB,20.353,20.333,20.541,20.801,20.968,114.091.891,29.600.617
DA_auto,18.935,18.398,18.215,18.19,18.229,114.143.919,29.291.776
DA_auto,19.295,18.805,18.858,18.961,19.142,114.157.622,28.223.412
DA,20.733,20.214,20.35,20.443,20.727,114.167.287,38.289.618
DA,20.589,20.347,20.685,21.007,21.294,114.189.148,37.209.272
DA_auto,20.498,20.29,20.484,20.728,21.148,114.193.664,41.833.777
DA_auto,18.767,18.815,19.217,19.515,19.746,114.213.527,31.615.365
DA,20.437,20.465,20.864,21.24,21.215,114.216.003,37.929.193
DA_auto,20.369,19.991,20.234,20.493,21.018,114.240.287,2.940.018
DA_auto,20.471,20.037,20.103,20.169,20.134,114.243.929,29.964.217
DA:+M,19.977,20.26,20.514,20.089,19.7,114.252.489,38.792.717
DA_auto,19.418,19.745,20.215,20.735,20.864,114.273.812,28.413.606
DB,20.295,20.378,20.59,20.874,21.101,114.416.112,41.524.289
DA_auto,20.595,20.161,20.212,20.322,20.444,11.444.071,29.864.312
DB,19.798,19.865,20.093,20.518,20.714,114.454.477,33.266.297
DA,19.826,19.36,19.493,19.638,19.955,114.471.347,38.571.585
DA_auto,19.443,19.144,19.399,19.658,19.905,114.525.363,33.242.508
DA_auto,18.482,18.361,18.687,18.986,19.228,11.453.143,27.238.517
DA_auto,19.044,18.821,19.182,19.427,19.826,11.455.671,43.131.161
DA,19.913,19.641,19.893,20.225,20.255,114.572.802,38.257.932
DA_auto,18.596,18.286,18.176,18.214,18.41,114.581.849,28.357.515
DA_auto,19.537,19.374,19.703,20,20.342,114.583.957,31.957.825
DA_auto,20.538,19.963,20.126,20.221,20.49,114.625.509,3.262.143
DA_auto,19.717,19.688,20.059,20.355,20.418,114.648.204,32.689.346
DZ,19.728,19.598,19.679,19.855,20.063,11.464.989,38.743.938
DA_auto,20.561,20.171,20.29,20.347,20.56,114.668.551,27.198.315
DA_auto,20.022,19.742,20.133,20.39,20.619,114.671.323,24.230.562
DA,18.935,19.05,19.441,19.729,20.088,114.686.281,31.041.503
DA_auto,18.339,17.981,18.255,18.476,18.694,114.708.799,30.209.919
DA_auto,18.567,18.136,18.284,18.357,18.593,114.712.346,27.117.801
DA_auto,20.182,19.883,19.835,19.95,20.082,114.715.798,27.431.243
DA_auto,19.655,19.268,19.557,19.75,20.081,114.770.947,44.059.639
DA+M,19.449,19.279,19.41,18.922,18.396,114.778.932,27.731.649
DA:,20.519,20.367,20.687,20.766,21.549,114.782.933,38.008.253
DA_auto,20.447,20.086,20.362,20.608,21.527,114.825.775,22.697.042
DA_auto,20.573,20.114,20.149,20.272,20.115,114.826.667,42.951.245
DB,19.443,19.556,19.83,20.106,20.222,114.853.493,37.770.239
DA_auto,17.952,17.51,17.503,17.572,17.62,114.868.959,2.379.108
DB,19.903,20.032,20.375,20.648,20.933,114.872.599,28.871.943
DA,20.067,19.939,20.263,20.591,20.587,114.873.613,39.474.612
DA:,19.804,19.186,18.935,18.879,18.862,114.940.847,30.561.821
DA_auto,20.498,20.291,20.537,20.914,21.41,114.979.452,3.045.173
DA_auto,20.883,20.294,20.462,20.536,20.682,114.999.841,33.163.103
DA,20.628,20.264,20.116,20.174,20.219,115.021.661,38.009.459
DA_auto,20.012,19.836,20.177,20.512,20.761,115.035.225,28.418.814
DA+M,19.382,19.027,19.217,19.052,18.476,115.046.588,38.985.851
DA_auto,20.651,20.435,20.635,20.837,21.414,115.080.045,23.870.311
DA_auto,20.031,20.052,20.394,20.71,20.541,115.093.815,22.166.362
DA_auto,20.275,19.864,20.005,20.078,20.394,115.094.465,27.561.182
DA_auto,19.887,19.844,20.188,20.542,20.581,115.107.297,24.294.506
DA_auto,17.991,17.862,18.195,18.456,18.757,115.139.558,25.086.628
DA_auto,20.765,20.401,20.631,20.786,21.165,115.150.723,33.289.729
DA,20.381,19.925,20.147,20.236,20.651,115.165.915,38.123.936
DA,16.835,16.923,17.296,17.601,17.859,115.173.673,41.352.039
DA_auto,19.047,18.596,18.726,18.915,19.172,115.180.243,34.000.939
DA,19.192,19.005,19.298,19.599,19.827,115.194.584,39.246.119
DA,17.241,17.551,17.994,18.321,18.61,115.246.336,38.136.151
DA_auto,19.216,19.172,19.532,19.861,20.159,115.273.233,23.382.058
DA_auto,19.832,19.364,19.567,19.743,19.993,11.527.688,44.125.785
DA_auto,19.471,19.195,19.506,19.708,20.051,115.301.473,43.226.255
DBZA,19.175,19.165,19.402,19.602,19.839,11.533.643,28.212.638
DA_auto,19.544,19.551,19.923,20.146,20.417,115.363.517,22.929.722
DA+M,20.439,20.229,20.163,19.785,19.301,115.370.574,41.724.423
DA_auto,19.87,19.575,19.797,20.019,20.186,115.376.721,24.909.269
DA_auto,20.12,19.72,19.792,19.846,19.823,115.412.142,28.949.232
DA_auto,20.399,20.162,20.46,20.814,20.706,115.424.532,30.102.372
DA+M,20.207,20.151,20.03,19.351,18.773,115.446.041,2.211.531
DA_auto,20.034,19.619,19.767,19.962,20.201,115.465.267,31.612.622
DA+M,17.857,17.779,18.048,17.863,17.528,115.476.449,38.147.228
DA_auto,18.463,18.324,18.639,18.89,19.198,115.481.269,31.896.559
DA,20.346,20.311,20.625,20.939,21.691,11.549.877,37.344.831
DA_auto,20.629,20.153,20.027,20.055,20.01,115.525.744,25.435.621
DA_auto,19.984,19.493,19.662,19.778,20.119,115.536.434,33.865.164
DA,20.664,20.408,20.668,20.833,21.418,115.555.313,41.741.288
DA,18.785,19.001,19.464,19.751,20.283,115.558.882,34.216.843
DA_auto,18.827,19.115,19.574,19.875,20.252,115.569.485,32.856.508
DA_auto,20.576,20.256,20.572,20.898,20.729,115.570.461,21.263.956
DB,19.439,19.517,19.872,20.168,20.405,115.605.814,20.065.983
DA_auto,20.516,20.051,20.165,20.342,20.557,115.606.695,30.315.357
DA+M,19.509,19.659,19.454,18.809,18.341,11.563.559,23.712.333
DA,18.676,18.075,17.86,17.752,17.775,115.660.494,42.391.816
DA_auto,19.719,19.428,19.74,19.959,20.229,115.672.602,23.569.086
DA_auto,17.402,17.803,18.316,18.682,19.011,115.680.811,44.375.404
DA_auto,20.636,20.472,20.831,21.049,21.211,115.681.816,24.890.245
DA_auto,20.51,20.3,20.571,20.834,20.997,115.695.288,25.629.508
DA:,19.37,19.143,19.143,19.157,19.323,115.711.682,22.412.428
DA,19.106,19.543,20.036,20.263,20.525,115.716.556,33.231.745
DC,19.312,19.073,19.085,19.118,19.38,115.718.118,24.194.667
DA_auto,18.978,18.853,19.208,19.485,19.933,115.724.185,32.945.371
DA_auto,19.685,19.275,19.499,19.745,20.096,115.729.078,24.349.987
DA,17.818,17.497,17.747,18.002,18.249,115.729.157,40.060.011
DB,18.891,18.916,19.228,19.458,19.644,115.738.723,39.105.031
DA,20.171,20.115,20.464,20.784,21.065,115.743.916,2.340.192
DA_auto,20.327,19.982,20.219,20.426,20.415,115.746.377,19.660.222
DA+M,17.495,17.339,17.459,16.963,16.413,115.758.079,41.115.353
DA_auto,20.419,20.126,20.377,20.719,20.726,115.778.181,33.655.255
DA_auto,18.833,19.194,19.677,19.977,20.254,115.779.944,33.013.856
DA,20.641,20.196,20.317,20.325,20.497,115.784.946,42.201.711
DA_auto,20.544,20.395,20.563,20.734,20.907,115.794.511,2.209.077
DA_auto,18.921,18.415,18.317,18.325,18.425,115.798.845,31.244.378
DA+M,20.525,20.267,20.414,20.006,19.438,11.589.278,34.779.835
DA_auto,20.052,20.1,20.455,20.719,21.407,11.592.233,23.247.627
DA_auto,18.697,18.757,19.165,19.486,19.737,115.928.403,33.042.817
DA_auto,19.558,19.106,18.989,19.023,19.084,115.948.862,19.376.217
DB,19.463,19.562,19.755,19.931,20.13,115.954.607,42.501.562
DBA:,20.468,20.482,20.846,20.941,21.396,115.963.112,23.889.473
DB,18.235,18.335,18.631,18.876,19.168,115.963.843,38.937.712
DA+M,19.188,18.757,18.655,17.914,17.208,115.969.493,32.429.818
DA,18.824,18.545,18.825,19.062,19.401,115.973.292,39.996.162
DA_auto,19.739,20.008,20.49,20.912,21.936,115.974.305,19.428.759
DA,20.733,20.28,20.418,20.595,20.802,11.600.168,42.291.568
DA_auto,20.755,20.332,20.305,20.302,20.303,116.024.347,30.845.391
DA_auto,20.874,20.479,20.737,20.963,20.804,116.031.787,31.192.134
DA_auto,19.161,18.729,18.89,19.058,19.269,116.031.875,45.561.777
DBA:,19.345,19.245,19.56,19.708,19.867,11.608.257,30.367.626
DA_auto,19.409,19.221,19.524,19.757,19.899,116.103.952,32.770.723
DZ:+M,19.136,18.907,18.879,18.18,17.499,116.105.958,3.551.135
DA_auto,19.964,19.632,19.92,20.193,20.222,116.150.742,21.641.397
DA_auto,19.345,18.803,18.782,18.818,18.894,116.151.631,45.259.576
DA,19.268,18.897,19.103,19.336,19.651,116.162.264,36.906.756
DA,20.616,20.297,20.22,20.242,20.292,116.165.836,37.015.269
DA_auto,20.729,20.508,20.296,20.397,20.269,116.197.685,26.178.805
DA_auto,20.678,20.451,20.739,20.946,21.521,116.216.669,20.125.323
DA_auto,20.192,19.741,19.936,20.167,20.266,116.270.898,45.389.636
DA_auto,19.334,19.091,19.402,19.558,20.245,116.271.797,43.036.199
DB,19.162,19.258,19.541,19.766,19.97,116.280.954,19.666.806
DA,19.319,19.418,19.767,20.102,20.572,11.628.551,37.538.473
DA,19.378,19.029,19.083,19.161,19.305,116.305.536,3.759.107
DA,18.961,19.144,19.568,19.863,20.1,116.323.123,35.197.736
DA+M:,17.727,18.099,18.495,18.625,18.687,116.333.554,23.706.626
DA,18.237,18.357,18.701,19.011,19.313,116.385.299,43.091.814
DA_auto,16.539,16.967,17.429,17.818,18.185,116.387.056,22.987.355
DA_auto,18.853,18.68,18.968,19.243,19.502,116.398.509,23.465.514
DA,19.906,19.478,19.631,19.877,20.16,116.406.072,41.265.725
DA,20.026,19.864,20.103,20.28,20.611,116.407.673,36.963.758
DO,18.592,18.912,19.348,19.637,19.886,116.409.046,31.368.161
DB,20.446,20.45,20.81,20.967,20.93,116.446.716,38.810.008
DA_auto,19.585,19.111,19.141,19.197,19.331,116.467.293,33.277.997
DA_auto,19.706,19.542,19.784,20.007,20.489,116.475.186,45.804.753
DA_auto,20.195,19.946,20.235,20.607,20.201,116.492.171,20.332.713
DA_auto,19.606,19.524,19.853,20.137,20.248,11.649.333,31.872.198
DA_auto,19.269,18.835,19.037,19.244,19.557,116.494.315,23.293.811
DA_auto,18.434,18.574,18.97,19.321,19.632,116.501.771,2.010.574
DA,19.333,19.202,19.535,19.79,20.071,116.515.458,40.260.488
DA,20.693,20.231,20.481,20.679,20.867,11.652.744,38.740.797
DA,20.136,20.332,20.756,20.974,21.775,116.539.701,33.955.688
DA_auto,19.924,19.505,19.644,19.844,19.988,116.588.001,31.881.523
DA_auto,19.013,18.775,19.115,19.374,19.637,116.624.178,2.269.856
DA,20.773,20.406,20.595,20.763,21.497,116.629.818,40.903.234
DA,18.434,18.771,19.253,19.549,19.813,116.633.346,41.869.476
DA,16.924,16.696,16.996,17.209,17.436,116.637.522,35.172.973
DA,20.073,19.696,19.857,20.038,20.205,116.652.537,43.469.907
DA_auto,17.724,17.981,18.423,18.764,19.048,116.659.154,33.281.409
DA,18.75,18.197,17.974,17.867,17.936,116.667.859,35.963.351
DA_auto,20.296,20.452,20.93,21.17,21.772,116.669.324,25.369.729
DA,19.63,19.127,19.175,19.252,19.383,11.667.149,35.813.176
DA,19.959,19.824,20.081,20.346,20.871,116.673.837,39.655.634
DA,20.554,20.094,20.32,20.573,21.073,116.680.344,38.182.223
DA,17.889,17.972,18.377,18.695,19.057,116.685.634,3.443.771
DA_auto,18.968,18.581,18.647,18.696,18.743,116.700.577,20.296.927
DA,18.485,18.644,19.063,19.405,19.743,116.703.728,37.903.202
DA_auto,18.971,18.653,18.945,19.192,19.346,116.703.853,43.634.185
DA_auto,18.035,18.041,18.395,18.674,18.981,116.706.278,47.381.565
DA,20.781,20.335,20.512,20.62,21.12,116.715,42.922.569
DA_auto,19.874,19.684,19.982,20.42,20.344,116.722.469,29.231.681
DA,20.319,19.906,19.947,20.198,20.137,116.737.884,39.853.637
DA_auto,20.583,20.278,20.333,20.616,20.415,11.673.958,29.738.888
DA_auto,20.002,19.914,20.182,20.435,20.605,116.757.931,31.851.113
DB,19.116,19.114,19.273,19.477,19.766,116.762.461,18.307.065
DA,17.646,17.403,17.591,17.831,18.103,116.802.634,45.453.893
DA,20.024,19.863,20.206,20.393,20.568,116.835.432,34.805.038
DA_auto,18.185,17.852,18.043,18.341,18.683,116.842.154,29.837.523
DA_auto,20.078,19.767,19.987,20.217,20.517,116.842.367,2.963.103
DA_auto,19.621,19.236,19.137,19.133,19.272,116.848.084,25.875.475
DA_auto,18.912,18.371,18.528,18.679,18.875,116.852.556,25.064.194
DA_auto,19.372,18.944,19.196,19.416,19.889,11.687.555,45.981.219
DA_auto,21.184,20.615,20.424,20.452,20.332,116.875.849,35.592.253
DA+M,19.307,18.759,18.34,17.35,16.663,116.877.392,43.067.671
DB,20.186,20.351,20.499,20.799,21.274,116.889.242,21.660.525
DA+M,18.791,18.57,18.727,18.249,17.662,11.688.977,47.334.444
DA,19.866,19.347,19.226,19.206,19.25,116.917.877,40.413.643
DA_auto,19.477,19.785,20.257,20.597,20.932,11.692.386,23.099.542
DA_CV:,20.537,20.201,20.404,20.494,20.884,116.929.384,20.046.526
DA_auto,20.016,19.703,19.941,20.17,20.379,116.929.818,4.518.353
DZ,19.136,18.91,18.89,19.025,19.114,116.931.496,40.019.472
DA_auto,19.664,19.772,20.191,20.378,20.635,11.695.285,3.365.265
DZ,19.693,19.561,19.642,19.781,19.914,116.964.128,37.538.051
DA_auto,18.718,18.347,18.596,18.817,19.083,116.968.656,24.509.172
DA,19.926,19.226,19.445,19.631,19.71,11.699.876,42.211.902
DA_auto,17.926,18.092,18.505,18.9,19.112,117.015.507,30.000.496
DA+M:,19.699,19.189,19.266,19.217,18.921,117.023.716,3.830.163
DA_auto,20.677,20.337,20.303,20.337,20.349,117.024.348,22.663.862
DA,19.194,18.852,19.015,19.258,19.581,11.702.887,40.602.395
DA+M:,17.623,18.046,18.552,18.872,18.842,117.030.094,2.097.062
DA_auto,19.075,19.001,19.316,19.602,19.928,117.047.168,24.043.737
DA:+M,19.581,19.688,19.863,19.357,18.953,117.063.701,38.146.084
DA+M,19.444,19.098,19.104,18.567,18.097,117.083.092,2.460.208
DZ,20.145,19.945,20.121,20.263,20.425,117.091.097,35.113.506
DA_auto,18.963,18.45,18.335,18.311,18.324,117.105.887,21.572.402
DA_auto,20.681,20.252,20.441,20.576,20.401,117.120.422,32.528.705
DA,19.121,18.736,18.951,19.192,19.425,117.150.579,38.953.168
DA_auto,20.598,20.175,20.198,20.189,20.167,117.158.003,34.737.227
DA_auto,20.547,20.115,20.227,20.303,20.607,11.716.041,26.476.774
DA_auto,18.71,18.481,18.745,19.037,19.232,117.162.316,24.129.396
DA,19.146,18.788,18.975,19.16,19.395,117.162.756,36.465.349
DA+M,20.883,20.36,19.497,18.819,18.412,117.182.996,43.489.672
DA_auto,20.694,20.413,20.622,20.806,20.631,117.190.412,20.137.675
DA_auto,18.718,18.307,18.289,18.326,18.495,117.207.197,20.491.481
DAH,17.388,17.576,17.874,18.493,18.555,117.221.149,30.428.763
DA+M,19.424,18.991,19.118,18.968,18.537,117.241.229,25.679.283
DA_auto,20.573,20.233,20.322,20.425,20.67,117.242.571,24.025.704
DA_auto,19.772,19.934,20.344,20.565,20.782,117.246.114,219.127
DA,18.96,18.588,18.82,19.075,19.4,117.268.036,42.405.563
DA,20.098,20.391,20.75,21.058,21.1,117.275.569,42.327.739
DA_auto,17.956,18.237,18.696,19.048,19.247,117.281.486,21.190.041
DA_auto,20.575,20.379,20.601,20.848,20.811,11.729.294,47.161.061
DC:,19.607,19.538,19.653,19.818,20.055,117.299.575,25.924.352
DA,19.815,19.455,19.593,19.812,20.248,117.311.875,43.668.842
DA,20.497,20.177,20.358,20.561,20.541,117.325.373,44.086.662
DA_auto,20.499,20.114,20.361,20.537,20.893,117.330.723,21.464.051
DA,20.799,20.325,20.342,20.501,20.588,117.337.362,38.814.731
DC:,20.525,20.253,20.259,20.439,20.904,117.340.491,22.550.786
DA_auto,18.453,18.711,19.123,19.537,19.746,11.735.095,24.040.834
DA,19.318,19.287,19.647,19.931,20.139,117.369.767,36.747.702
DA_auto,19.645,19.374,19.616,19.833,19.99,117.374.239,24.731.071
DA_auto,20.075,19.744,19.924,20.155,20.519,11.737.626,20.276.609
DA_auto,20.043,19.599,19.74,19.956,19.948,11.738.928,26.253.975
DA,18.376,18.684,19.156,19.465,19.809,117.395.205,36.868.095
DA_auto,18.288,18.646,19.036,19.361,19.654,117.395.968,31.720.952
DA_auto,21.052,20.566,20.648,20.766,20.794,117.416.266,34.917.409
DZ,19.316,18.68,18.553,18.543,18.668,11.742.864,31.406.855
DA_auto,19.967,19.692,19.852,19.997,20.315,117.442.399,22.271.832
DA,19.473,19.754,20.131,20.406,20.562,117.445.825,35.682.098
DZ,20.514,20.377,20.371,20.552,20.709,117.492.759,43.718.347
DC,18.144,17.771,17.707,17.721,17.851,117.502.435,2.563.676
DA_auto,20.416,20.238,20.593,20.828,21.347,117.506.405,26.384.259
DA_auto,19.613,19.099,18.953,18.935,18.891,117.518.251,48.358.161
DA,21.028,20.487,20.642,20.796,21.502,117.520.032,42.248.772
DA+M,20.736,19.758,18.777,18.018,17.588,117.523.218,39.550.427
DA+M,18.449,18.225,18.277,17.759,17.169,117.541.225,38.278.231
DA,19.812,19.694,20.038,20.353,20.417,117.569.084,40.482.849
DA:,20.264,20.405,20.711,21.124,21.241,117.571.572,38.204.064
DA_auto,20.542,20.088,20.166,20.164,20.572,117.590.924,34.409.479
DA_auto,19.513,19.539,19.931,20.218,20.864,117.590.986,22.009.207
DA,20.153,19.666,19.94,20.087,20.187,117.609.932,38.698.771
DB,19.913,19.895,20.109,20.24,20.521,117.641.447,43.614.688
DBA,18.435,18.512,18.803,19.011,19.343,117.648.551,20.058.957
DA,20.594,20.245,20.493,20.735,20.651,117.650.995,35.077.626
DA_auto,19.607,19.307,19.604,19.816,20.145,117.674.369,34.240.833
DA_auto,20.651,20.211,20.209,20.283,20.558,117.689.013,21.719.975
DA_auto,20.517,20.205,20.513,20.727,20.743,117.689.668,21.242.031
