Sp_Class,u_mag,g_mag,r_mag,i_mag,z_mag,RA,Dec
DA,19.324,18.903,18.926,18.959,19.077,3.703.458,340.932
DA,19.324,18.903,18.926,18.959,19.077,3.703.458,340.932
DA_auto,17.699,17.27,17.243,17.314,17.435,3.828.671,13.892.466
DB,18.711,18.938,19.419,19.73,20.092,3.873.926,1.089.256
DA+M,21.23,20.866,20.608,19.851,19.273,395.426,1.160.365
DA_auto,20.673,20.336,20.051,20.135,20.041,3.954.939,1.111.358
DA,18.679,18.235,18.291,18.4,18.493,3.983.649,-87.593
DA_auto,19.653,19.491,19.776,20.11,20.312,4.020.732,-1.107.497
DA_auto,20.152,19.664,19.575,19.525,19.612,4.072.995,-550.462
DA_auto,18.692,18.25,18.263,18.326,18.516,4.121.066,-747.513
DA_auto,18.863,18.469,18.405,18.395,18.563,4.180.671,15.403.023
PG1159,16.045,16.57,17.041,17.372,17.808,421.422,-1.224.833
DA_auto,19.5,18.975,19.12,19.229,19.477,4.227.823,15.242.258
DA_auto,18.003,17.671,17.928,18.171,18.469,4.231.319,-93.459
DC,19.269,19.056,19.179,19.354,19.486,4.236.584,-26.758
DA_auto,19.469,19.11,19.265,19.469,19.566,4.315.944,1.2198
DA+M,19.678,19.29,19.028,18.187,17.542,4.360.982,-414.225
DA+M,19.678,19.29,19.028,18.187,17.542,4.360.982,-414.225
DA,18.912,18.922,19.272,19.529,19.702,4.377.565,706.794
DA,19.215,19.155,19.48,19.782,20.246,4.387.237,-9.782.463
DC,18.798,18.33,17.861,17.562,17.28,440.377,14.850.521
DA_auto,19.278,19.208,19.513,19.864,20.103,4.440.764,-677.933
DA_auto,19.476,18.972,19.12,19.292,19.469,4.446.498,15.867.901
DA+M,16.565,16.865,17.034,16.781,16.471,4.455.178,-165.436
DA+M,16.565,16.865,17.034,16.781,16.471,4.455.178,-165.436
DB,19.741,19.929,20.185,20.432,20.499,4.485.509,-9.242.571
DA_auto,19.942,19.501,19.588,19.77,19.994,4.571.003,14.916.798
DA_auto,17.823,17.374,17.538,17.73,17.954,4.650.641,530.953
DA_auto,19.59,19.614,19.914,20.236,21.105,4.660.607,99.542
DZ,18.527,18.376,18.445,18.606,18.858,4.705.988,-201.308
DZ,18.527,18.376,18.445,18.606,18.858,4.705.988,-201.308
DC:,18.343,18.02,17.988,18.02,18.151,4.784.007,14.240.787
DA_auto,19.595,19.161,19.012,19.057,19.206,4.840.363,14.684.805
DA_auto,19.85,19.466,19.443,19.511,19.634,4.866.059,-115.086
DA,20.013,20.08,20.505,20.88,22.254,495.256,282.594
DBA,15.077,15.199,15.528,15.813,16.079,5.007.512,13.880.001
DA,20.196,19.643,19.335,19.324,19.345,5.028.289,804.984
DA,19.207,18.624,18.464,18.368,18.439,5.167.081,185.101
DA,19.207,18.624,18.464,18.368,18.439,5.167.081,185.101
DA,19.207,18.624,18.464,18.368,18.439,5.167.081,185.101
DA,17.035,16.797,16.739,16.776,16.94,5.205.967,742.983
DA,17.035,16.797,16.739,16.776,16.94,5.205.967,742.983
DA,17.035,16.797,16.739,16.776,16.94,5.205.967,742.983
DA_auto,19.149,18.76,19.051,19.379,19.595,5.279.306,-504.753
DA_auto,19.625,19.157,19.256,19.412,19.429,5.289.742,-422.013
DA_auto,18.875,18.881,19.228,19.526,19.722,5.342.249,291.662
DA_auto,18.875,18.881,19.228,19.526,19.722,5.342.249,291.662
DA,18.476,18.331,18.621,18.887,19.049,536.121,-9.620.598
DC,18.689,18.177,17.973,17.93,17.992,5.369.162,15.039.947
DB,19.963,20.077,20.411,20.642,20.954,5.460.736,-941.654
DB,18.659,18.763,18.945,19.245,19.394,5.510.356,-637.416
DA,19.907,19.768,20.067,20.267,20.569,5.531.893,-10.239.877
DA_auto,19.547,19.1,19.286,19.458,19.625,5.560.504,1.089.278
DA_auto,19.623,19.897,20.327,20.572,20.57,5.599.721,-56.709
DA,19.711,19.229,19.613,19.826,19.993,5.618.547,52.099
DA_auto,19.243,18.864,19.075,19.261,19.43,5.663.585,-395.068
DB,19.804,19.865,20.124,20.449,20.507,5.696.286,15.475.548
DA_auto,20.6,20.148,20.127,20.119,20.428,5.763.261,-798.817
DA,20.526,20.272,20.535,20.906,20.614,5.773.195,-10.327.655
DA_auto,16.56,16.277,16.558,16.852,17.073,5.787.723,-561.672
DA:,18.939,18.826,18.942,19.108,19.195,5.843.523,15.003.239
DA_auto,20.163,19.799,19.966,20.149,20.28,5.904.192,15.908.038
DA,17.507,17.475,17.8,18.076,18.41,6.126.121,-9.148.595
DA_auto,19.073,19.012,19.421,19.658,19.866,6.196.473,15.243.046
DA_auto,19.998,19.613,19.611,19.692,19.835,6.211.402,319.706
DA,19.74,19.327,19.542,19.767,20.145,622.902,-11.128.698
DA,19.761,19.466,19.748,20.055,19.951,6.289.275,-10.680.066
DA,18.328,17.924,18.095,18.255,18.436,6.318.523,-9.877.392
DQ,18.155,18.015,18.004,18.128,18.314,6.381.238,-11.133.574
DA,19.418,19.72,20.098,20.455,20.701,6.394.741,-10.407.381
DA_auto,19.251,18.889,19.051,19.237,19.538,6.433.127,15.759.036
DA,18.729,18.361,18.579,18.808,19.155,6.436.395,-9.460.878
DA_auto,18.865,19.123,19.523,19.819,20.058,6.441.478,16.243.072
DA,19.656,19.181,19.156,19.135,19.392,6.487.111,-9.541.986
DA,20.041,19.521,19.671,19.902,20.15,6.500.962,-10.132.135
DA,16.743,16.207,16.257,16.326,16.499,6.509.544,-10.631.079
DA,20.015,20.038,20.335,20.577,20.517,6.581.373,-9.186.331
DA+M,17.567,17.347,17.339,16.652,16.042,6.585.031,1.473.595
DA_auto,20.081,19.638,19.552,19.585,19.483,6.638.311,-375.069
DB,18.857,18.928,19.24,19.571,19.808,664.119,907.177
DA_auto,,,,,,664.332,3.556.039
DA,18.045,17.931,18.279,18.563,18.851,6.652.018,-10.058.475
DB,,,,,,666.444,-10.852
DB,,,,,,666.444,-10.852
DA_auto,20.63,20.366,20.456,20.758,20.519,6.680.576,-755.069
DA,17.905,17.486,17.386,17.412,17.484,6.689.737,-42.552
DA,17.905,17.486,17.386,17.412,17.484,6.689.737,-42.552
DA_auto,20.434,20.017,20.262,20.468,20.61,6.707.707,89.349
DA+M,21.032,20.042,19.188,18.361,17.88,6.854.404,-739.813
DA_auto,20.053,19.954,20.296,20.618,20.97,6.948.775,1.112.555
DB+M,18.376,18.173,17.911,17.087,16.451,6.958.386,-173.194
DA+M,19.446,19.386,19.383,18.629,18.07,7.006.989,36.048
DA_auto,18.955,18.414,18.813,19.064,19.29,7.013.913,-203.731
DA,20.136,19.751,19.732,19.77,19.868,7.021.438,14.387.367
DA,17.457,17.559,17.938,18.227,18.528,7.027.086,01.02
DA:,20.796,20.442,20.444,20.412,21.158,705.942,15.025.017
DA,20.932,20.351,20.373,20.39,20.671,7.210.683,15.652.755
DA:+M,21.248,20.686,20.052,19.071,18.423,7.293.235,14.219.552
DA,20.569,20.024,19.909,19.867,19.949,7.328.021,16.218.233
DA,20.245,20.118,20.366,20.642,21.014,7.353.212,13.790.608
DA,18.9,18.47,18.535,18.659,18.803,7.356.763,26.465
DA,20.554,20.083,20.251,20.434,21.382,741.698,15.156.131
DA,18.849,18.343,18.357,18.422,18.572,7.427.006,-11.170.405
DA_auto,20.148,19.733,19.77,19.881,19.874,7.500.138,-460.819
DBAZ,17.294,17.408,17.709,17.921,18.18,7.513.473,15.441.485
DC,19.917,19.585,19.617,19.794,19.917,7.567.266,14.868.222
DA,18.136,18.14,18.5,18.793,19.176,7.726.967,-9.456.365
DA,20.398,20.199,20.518,20.719,20.446,7.798.971,13.822.081
DA_auto,19.116,18.922,19.221,19.439,19.776,7.894.383,-351.525
DA_auto,19.779,19.594,19.953,20.274,20.748,7.974.721,238.844
DA,18.299,18.334,18.602,18.859,19.244,8.009.833,15.943.575
DA_auto,18.763,19.011,19.492,19.756,20.154,8.049.972,811.971
DB,18.632,18.648,18.92,19.154,19.406,812.548,194.046
DA,20.144,19.767,19.949,20.137,20.177,8.133.627,15.524.069
DA,20.144,19.767,19.949,20.137,20.177,8.133.627,15.524.069
DA,20.128,20.212,20.521,20.846,20.738,8.179.454,14.343.291
DA,20.128,20.212,20.521,20.846,20.738,8.179.454,14.343.291
DA+M,20.305,20.256,20.44,20.162,20.057,8.238.009,108.728
DA+M,20.753,20.717,20.306,19.323,18.656,8.256.373,954.691
DA,20.064,20.228,20.619,20.881,21.327,827.587,15.607.644
DA,20.064,20.228,20.619,20.881,21.327,827.587,15.607.644
DA,20.696,20.292,20.422,20.564,20.669,8.412.823,1.542.584
DA,20.696,20.292,20.422,20.564,20.669,8.412.823,1.542.584
DO,17.251,17.557,18.012,18.328,18.532,8.429.375,14.380.958
DA_auto,20.793,20.265,20.069,20.009,20.147,8.467.708,382.553
