,t,x,y,z,Sx,Sy,Sz
0,2,0.5,-5.0,-8.0,0.00016776865578080376,-0.0016776865578080375,-0.00268429849249286
1,2,0.5,-5.0,-7.157894736842105,0.0002467653747970304,-0.0024676537479703035,-0.0035326411549890667
2,2,0.5,-5.0,-6.315789473684211,0.00036865946703000757,-0.003686594670300076,-0.004656751162484306
3,2,0.5,-5.0,-5.473684210526316,0.0005573949761843035,-0.005573949761843036,-0.006102008160333428
4,2,0.5,-5.0,-4.631578947368421,0.0008470396980028028,-0.008470396980028027,-0.007846262465710173
5,2,0.5,-5.0,-3.7894736842105265,0.001278545663627249,-0.01278545663627249,-0.009690030292753888
6,2,0.5,-5.0,-2.947368421052632,0.00188169133939936,-0.0188169133939936,-0.011092075263827808
7,2,0.5,-5.0,-2.105263157894737,0.002630229359814972,-0.02630229359814972,-0.011074649936063042
8,2,0.5,-5.0,-1.2631578947368425,0.003381036810557532,-0.03381036810557532,-0.00854156667930324
9,2,0.5,-5.0,-0.4210526315789478,0.003872410563091281,-0.03872410563091281,-0.0032609773162873977
10,2,0.5,-5.0,0.4210526315789469,0.003872410563091283,-0.03872410563091283,0.003260977316287392
11,2,0.5,-5.0,1.2631578947368425,0.003381036810557532,-0.03381036810557532,0.00854156667930324
12,2,0.5,-5.0,2.1052631578947363,0.002630229359814972,-0.02630229359814972,0.011074649936063037
13,2,0.5,-5.0,2.94736842105263,0.0018816913393993617,-0.018816913393993617,0.011092075263827812
14,2,0.5,-5.0,3.7894736842105257,0.0012785456636272504,-0.012785456636272506,0.009690030292753896
15,2,0.5,-5.0,4.631578947368421,0.0008470396980028025,-0.008470396980028026,0.007846262465710171
16,2,0.5,-5.0,5.473684210526315,0.000557394976184304,-0.00557394976184304,0.006102008160333432
17,2,0.5,-5.0,6.315789473684209,0.0003686594670300082,-0.003686594670300082,0.004656751162484312
18,2,0.5,-5.0,7.157894736842104,0.0002467653747970305,-0.0024676537479703053,0.0035326411549890684
19,2,0.5,-5.0,8.0,0.00016776865578080384,-0.0016776865578080385,0.0026842984924928615
20,2,0.7368421052631579,-5.0,-8.0,0.0002480658183066498,-0.001683303767080838,-0.002693286027329341
21,2,0.7368421052631579,-5.0,-7.157894736842105,0.00036437427252590304,-0.0024725397064257705,-0.0035396357902516295
22,2,0.7368421052631579,-5.0,-6.315789473684211,0.0005434599701154105,-0.003687764082926,-0.004658228315274947
23,2,0.7368421052631579,-5.0,-5.473684210526316,0.0008200333481993645,-0.005564512005638546,-0.006091676300909566
24,2,0.7368421052631579,-5.0,-4.631578947368421,0.0012431644994295007,-0.008435759103271613,-0.007814176853556863
25,2,0.7368421052631579,-5.0,-3.7894736842105265,0.0018712426308844189,-0.012697717852429987,-0.009623533530262728
26,2,0.7368421052631579,-5.0,-2.947368421052632,0.002745558128264843,-0.018630573013225724,-0.010982232513059374
27,2,0.7368421052631579,-5.0,-2.105263157894737,0.0038259982496904195,-0.025962130980042138,-0.010931423570544059
28,2,0.7368421052631579,-5.0,-1.2631578947368425,0.00490546847974475,-0.03328710754112509,-0.008409374536705289
29,2,0.7368421052631579,-5.0,-0.4210526315789478,0.0056099435270385205,-0.038067473933475676,-0.003205682015450586
30,2,0.7368421052631579,-5.0,0.4210526315789469,0.005609943527038522,-0.03806747393347569,0.0032056820154505805
31,2,0.7368421052631579,-5.0,1.2631578947368425,0.00490546847974475,-0.03328710754112509,0.008409374536705289
32,2,0.7368421052631579,-5.0,2.1052631578947363,0.0038259982496904195,-0.025962130980042138,0.010931423570544056
33,2,0.7368421052631579,-5.0,2.94736842105263,0.0027455581282648453,-0.018630573013225737,0.010982232513059376
34,2,0.7368421052631579,-5.0,3.7894736842105257,0.00187124263088442,-0.012697717852429994,0.009623533530262731
35,2,0.7368421052631579,-5.0,4.631578947368421,0.001243164499429501,-0.008435759103271614,0.007814176853556865
36,2,0.7368421052631579,-5.0,5.473684210526315,0.0008200333481993646,-0.005564512005638546,0.0060916763009095645
37,2,0.7368421052631579,-5.0,6.315789473684209,0.0005434599701154106,-0.003687764082926001,0.004658228315274947
38,2,0.7368421052631579,-5.0,7.157894736842104,0.00036437427252590304,-0.0024725397064257705,0.003539635790251629
39,2,0.7368421052631579,-5.0,8.0,0.0002480658183066499,-0.0016833037670808384,0.0026932860273293415
40,2,0.9736842105263157,-5.0,-8.0,0.00032926344897733165,-0.001690812305559271,-0.0027052996888948335
41,2,0.9736842105263157,-5.0,-7.157894736842105,0.0004827381395993948,-0.002478925581726622,-0.0035487776748928486
42,2,0.9736842105263157,-5.0,-6.315789473684211,0.0007183625864555307,-0.003688888957474347,-0.00465964920944128
43,2,0.9736842105263157,-5.0,-5.473684210526316,0.0010809691317541278,-0.005550922568467142,-0.006076799443374557
44,2,0.9736842105263157,-5.0,-4.631578947368421,0.0016333779941300902,-0.008387616726613976,-0.007769581809916105
45,2,0.9736842105263157,-5.0,-3.7894736842105265,0.002449290431438714,-0.012577437350631234,-0.009532373571004726
46,2,0.9736842105263157,-5.0,-2.947368421052632,0.0035787697208388754,-0.018377466134037474,-0.010833032668485247
47,2,0.9736842105263157,-5.0,-2.105263157894737,0.004966457038075511,-0.025503428033360736,-0.010738285487730837
48,2,0.9736842105263157,-5.0,-1.2631578947368425,0.006345562766656175,-0.03258532231526144,-0.00823208142701342
49,2,0.9736842105263157,-5.0,-0.4210526315789478,0.007242156385871516,-0.03718945171123211,-0.0031317433019984967
50,2,0.9736842105263157,-5.0,0.4210526315789469,0.007242156385871518,-0.03718945171123212,0.003131743301998491
51,2,0.9736842105263157,-5.0,1.2631578947368425,0.006345562766656175,-0.03258532231526144,0.00823208142701342
52,2,0.9736842105263157,-5.0,2.1052631578947363,0.004966457038075513,-0.025503428033360746,0.010738285487730837
53,2,0.9736842105263157,-5.0,2.94736842105263,0.0035787697208388806,-0.0183774661340375,0.010833032668485258
54,2,0.9736842105263157,-5.0,3.7894736842105257,0.0024492904314387157,-0.012577437350631243,0.00953237357100473
55,2,0.9736842105263157,-5.0,4.631578947368421,0.0016333779941300902,-0.008387616726613976,0.007769581809916105
56,2,0.9736842105263157,-5.0,5.473684210526315,0.0010809691317541282,-0.0055509225684671456,0.006076799443374558
57,2,0.9736842105263157,-5.0,6.315789473684209,0.0007183625864555317,-0.003688888957474352,0.004659649209441286
58,2,0.9736842105263157,-5.0,7.157894736842104,0.0004827381395993949,-0.0024789255817266225,0.0035487776748928486
59,2,0.9736842105263157,-5.0,8.0,0.0003292634489773316,-0.0016908123055592702,0.0027052996888948327
60,2,1.2105263157894737,-5.0,-8.0,0.00041157246614073525,-0.0016999732297117327,-0.002719957167538772
61,2,1.2105263157894737,-5.0,-7.157894736842105,0.0006019883836132095,-0.0024864737584023872,-0.0035595834857128908
62,2,1.2105263157894737,-5.0,-6.315789473684211,0.000893254395251041,-0.0036895290238629958,-0.004660457714353259
63,2,1.2105263157894737,-5.0,-5.473684210526316,0.0013394999519647204,-0.005532717192897758,-0.0060568693480143885
64,2,1.2105263157894737,-5.0,-4.631578947368421,0.0020157215689435948,-0.008325806480419196,-0.007712326002914624
65,2,1.2105263157894737,-5.0,-3.7894736842105265,0.0030083190537891864,-0.012425665656955335,-0.009417346603166149
66,2,1.2105263157894737,-5.0,-2.947368421052632,0.0043728665074324324,-0.018061839922003525,-0.010646979322444185
67,2,1.2105263157894737,-5.0,-2.105263157894737,0.006037312754922434,-0.024936726596418744,-0.010499674356386842
