u_mag,g_mag,r_mag,i_mag,z_mag,ra,dec
17.200.846,1.597.235,15.501.597,15.378.119,1.530.394,1.905.483.629,2.064.072.802
2.056.904,17.963.705,16.569.757,15.920.211,15.531.668,1.905.227.688,2.059.424.281
19.176.514,17.408.106,16.623.816,16.279.684,16.021.917,1.905.179.967,211.383.412
18.864.611,17.387.793,168.402,16.620.745,16.495.726,1.905.129.801,2.099.148.665
18.903.582,16.776.884,15.945.539,15.622.117,15.452.689,1.906.393.386,2.108.383.299
19.986.006,1.735.807,16.146.215,15.624.105,15.339.452,1.905.504.536,2.099.957.243
20.323.822,1.773.893,1.641.223,1.581.457,15.512.513,1.906.586.302,2.102.397.756
18.671.354,17.435.427,16.943.743,16.730.545,16.616.486,1.906.725.484,239.216.713
18.052.544,16.793.858,1.638.715,16.186.407,16.083.572,1.906.946.676,2.401.905.985
19.671.026,17.784.782,1.704.855,16.781.803,16.642.698,1.910.550.784,2.394.572.559
18.400.192,17.179.976,16.689.894,16.495.533,16.386.219,1.910.621.935,2.398.705.892
19.244.486,17.934.822,17.417.709,1.720.174,1.706.361,1.910.759.648,2.401.415.368
18.431.763,16.445.318,15.650.043,15.353.978,15.168.246,1.910.881.943,2.401.765.568
18.518.862,17.326.744,16.802.814,16.603.062,16.478.197,1.911.111.494,2.399.235.411
18.887.568,17.530.317,17.020.521,1.683.666,16.747.105,1.911.112.457,239.310.939
18.259.926,17.057.083,16.527.008,16.320.244,16.199.163,1.911.325.889,2.395.441.847
17.858.463,16.067.099,15.445.831,15.256.857,1.514.217,1.911.677.246,2.399.367.025
18.889.725,16.999.556,16.287.743,1.605.027,15.907.975,1.911.674.476,2.384.514.398
19.897.779,17.876.566,1.701.774,16.696.062,16.500.919,191.244.186,2.387.250.304
17.945.721,16.776.466,16.351.685,1.617.255,16.144.056,1.912.548.424,2.401.816.052
18.768.316,16.521.433,15.719.085,15.431.487,15.289.912,1.912.467.456,2.382.266.163
17.338.842,16.170.542,15.714.096,15.491.319,15.563.008,1.906.896.391,2.427.399.553
19.699.776,17.404.554,16.335.613,15.982.123,15.775.169,1.910.549.341,2.438.192.899
18.314.096,17.520.929,17.249.567,17.140.085,17.090.065,1.910.642.127,2.443.434.409
18.046.808,17.112.625,16.691.591,16.531.796,16.451.738,1.910.765.804,2.433.246.923
19.541.231,1.796.965,17.379.009,17.161.276,17.029.945,1.911.039.174,2.427.818.228
18.953.072,17.464.853,16.869.621,16.659.647,16.537.113,1.911.237.559,2.441.276.293
18.054.523,1.689.645,1.649.758,16.531.523,16.320.129,1.911.598.817,2.427.996.733
18.126.934,17.174.042,16.849.367,16.756.262,16.645.342,1.911.744.397,2.426.256.257
18.229.416,16.989.479,1.657.102,16.437.378,16.318.081,1.911.924.492,2.443.381.098
19.187.426,17.558.897,16.939.548,1.673.399,16.630.323,1.912.278.349,2.431.878.085
17.535.097,1.627.935,15.828.362,15.659.315,15.599.475,1.906.890.271,2.475.558.332
19.065.083,17.513.382,16.912.979,16.713.747,16.626.896,1.910.678.694,2.468.635.793
18.919.254,17.727.236,17.305.706,17.184.147,17.138.645,1.911.127.984,2.467.297.528
18.772.058,17.089.714,16.370.493,16.112.926,15.986.866,1.911.288.368,2.475.024.824
1.759.936,16.519.411,16.096.596,15.979.745,1.592.744,1.911.286.295,2.466.672.405
1.788.975,16.917.942,16.561.544,16.469.631,16.415.308,1.911.549.967,2.472.411.171
17.623.678,16.420.267,15.992.841,15.852.956,15.814.541,1.911.641.823,2.474.111.203
17.161.854,15.950.036,15.458.912,15.240.379,15.222.621,1.911.800.985,2.471.200.415
19.172.703,17.914.291,17.437.569,17.272.026,17.176.506,1.912.442.147,2.478.234.919
199.821,1.738.269,16.236.504,15.865.006,15.614.576,1.912.499.903,2.471.965.373
18.600.735,17.401.356,16.991.747,16.850.159,16.808.163,1.910.546.923,2.153.815.193
18.301.449,16.269.381,15.507.667,15.274.419,15.169.174,1.910.561.402,2.149.786.409
17.924.971,16.602.411,16.128.424,15.963.561,15.906.747,1.910.655.966,2.153.642.666
17.329.811,15.938.398,15.389.258,15.233.421,15.177.173,1.910.684.214,2.143.478.839
18.537.102,17.023.634,16.379.911,16.156.532,16.077.454,1.910.697.653,2.138.520.236
18.445.925,16.412.327,15.592.012,15.261.742,15.137.024,1.910.830.988,2.153.376.167
16.766.602,15.686.266,1.527.671,15.150.709,15.132.112,1.910.773.015,2.135.627.272
17.710.318,1.617.462,15.603.509,15.369.818,15.254.517,1.911.193.929,2.136.392.072
17.294.203,16.007.622,15.553.166,15.386.732,15.329.313,1.910.990.807,2.150.620.387
18.355.349,17.215.755,16.691.961,16.451.408,16.346.069,1.911.025.007,214.988.953
19.657.032,17.723.417,16.893.847,16.581.873,16.371.996,1.911.085.811,2.137.326.683
19.489.332,17.925.724,17.283.405,17.064.302,16.921.789,1.911.384.116,2.142.155.269
18.545.753,17.630.428,17.208.927,16.998.949,16.921.036,1.911.588.436,214.652.984
19.209.961,17.610.182,16.974.741,16.727.547,16.611.586,1.911.613.274,214.549.861
18.344.612,16.948.284,16.444.887,16.274.422,16.215.364,1.911.774.554,2.142.871.233
17.702.885,16.601.532,16.242.895,16.084.484,16.034.201,1.911.883.687,2.151.288.705
18.741.764,17.725.994,17.537.916,174.517,1.748.546,1.911.991.807,2.143.606.646
1.774.918,16.122.608,15.506.548,152.647,15.180.124,1.912.104.796,2.145.066.282
19.787.395,17.112.078,15.849.819,15.326.224,15.049.003,1.912.298.693,2.135.882.233
20.136.889,17.767.485,16.760.839,16.326.771,16.081.257,1.912.005.976,2.150.078.858
20.409.203,17.814.352,16.428.795,15.696.813,15.290.281,1.912.447.155,2.133.398.083
16.907.888,15.734.402,15.234.529,15.090.226,1.506.103,190.677.796,2.187.152.446
1.859.313,17.269.207,16.742.552,1.658.042,1.647.097,1.910.614.654,2.186.161.918
19.076.674,17.844.416,1.761.215,17.554.146,1.754.884,1.910.683.293,2.185.839.698
19.157.141,17.164.827,1.636.665,16.073.257,15.907.149,1.910.661.209,2.180.456.947
17.635.908,1.647.682,16.015.497,15.860.889,15.831.594,1.910.809.523,2.190.332.736
19.250.862,1.760.298,1.701.309,16.770.746,16.714.024,1.911.061.622,2.195.115.505
18.541.994,16.980.047,16.417.681,16.250.893,16.130.859,1.911.378.897,2.181.305.979
1.863.443,1.698.126,16.382.246,16.214.455,16.125.528,1.911.668.162,2.195.092.691
17.691.694,16.472.979,16.037.958,15.892.253,15.834.904,1.912.170.621,2.188.767.619
20.227.373,17.705.093,1.649.366,16.005.247,15.731.505,1.911.066.852,219.268.306
17.084.806,15.969.926,15.559.823,15.443.672,15.399.346,1.912.133.581,2.177.094.411
17.283.222,16.097.322,15.691.686,15.540.123,15.494.891,1.912.281.069,219.555.921
18.386.789,16.910.408,16.346.472,16.116.266,16.026.926,1.912.424.862,2.181.782.784
20.316.128,17.697.544,16.499.836,15.998.435,15.738.516,1.906.841.062,2.223.972.086
17.451.365,1.649.958,16.128.939,16.071.274,16.029.957,1.910.490.804,2.230.218.959
18.743.561,16.636.015,15.742.874,15.443.945,1.526.775,1.911.147.008,2.237.171.769
18.202.164,1.676.248,16.204.554,16.031.988,15.942.922,1.911.908.943,2.223.221.556
17.832.384,16.911.079,16.660.259,16.557.112,1.654.707,1.912.321.911,2.227.101.875
19.050.573,17.402.466,16.787.176,1.654.307,1.645.166,1.906.766.939,2.278.908.191
19.749.331,177.687,16.959.749,16.666.515,16.526.386,1.906.731.638,2.268.319.164
1.889.617,17.571.058,17.060.844,16.883.389,16.845.745,1.906.784.457,2.273.088.386
18.044.773,16.173.164,15.445.836,15.232.363,15.006.582,1.906.873.841,2.281.576.715
17.674.906,16.698.761,16.368.547,16.263.893,16.248.688,1.910.657.196,2.274.069.915
17.677.301,16.221.972,15.667.097,1.552.989,15.454.861,19.107.252,2.260.947.166
1.711.846,15.922.269,15.491.415,15.346.566,15.337.063,1.911.220.669,2.265.094.301
18.819.338,17.670.193,17.142.265,169.039,16.771.368,1.912.162.692,2.279.261.737
17.720.203,16.253.618,15.685.694,15.481.946,1.535.487,1.912.418.687,2.260.703.933
20.405.041,17.904.045,16.678.276,16.141.733,15.850.091,1.912.169.921,2.265.841.266
19.620.388,17.161.888,16.056.034,15.641.371,15.379.992,1.912.544.595,2.263.769.531
17.804.947,16.716.347,16.330.452,16.187.199,16.135.099,191.048.147,2.317.553.619
18.524.632,176.625,17.350.155,17.236.391,17.266.792,1.910.718.397,2.310.585.144
19.092.485,17.308.119,1.654.986,16.285.564,16.187.475,1.911.242.362,2.320.886.537
1.919.791,17.553.328,16.911.074,16.652.275,16.574.789,1.911.303.604,2.320.595.479
18.297.611,1.648.473,15.850.156,15.589.758,15.432.609,1.912.137.913,2.319.465.673
19.319.952,17.785.801,17.176.367,1.695.188,16.834.938,1.906.829.653,2.345.463.301
19.248.388,17.771.276,17.152.025,16.912.994,16.764.744,1.910.676.167,23.605.704
17.631.466,16.642.689,16.229.946,1.606.048,1.599.668,1.910.860.373,2.348.146.566
18.797.529,17.913.168,17.609.835,17.522.999,1.748.226,1.910.868.376,2.346.345.203
19.500.658,16.944.445,15.776.946,15.300.946,15.066.159,1.911.101.622,2.352.175.172
17.916.525,16.692.736,16.252.129,16.109.884,16.085.976,1.911.144.532,2.352.045.499
1.715.527,16.238.489,16.136.049,16.134.201,16.162.388,1.912.358.701,2.350.003.701
19.079.132,17.742.741,17.202.833,16.969.372,16.895.662,1.910.627.878,2.127.969.814
17.726.341,1.632.616,15.819.895,15.692.639,15.657.228,1.910.822.839,213.249.119
1.821.888,17.124.834,16.718.122,16.612.324,16.506.456,1.912.343.847,2.119.117.614
19.250.366,17.861.181,17.402.298,17.176.718,1.716.396,1.906.896.817,2.166.750.651
18.238.396,170.492,16.650.648,16.450.022,16.443.485,1.910.555.236,2.158.142.946
185.569,1.756.756,1.714.743,16.975.481,16.969.101,1.910.614.502,2.168.670.713
18.958.603,17.561.344,16.983.006,16.755.651,16.690.454,1.911.524.199,2.173.911.764
17.447.357,16.007.992,1.542.111,1.523.335,15.187.996,1.911.519.064,2.159.681.746
18.162.697,17.182.381,16.751.989,16.557.158,164.995,1.911.590.313,2.167.730.886
18.987.658,17.620.602,17.082.108,16.890.141,16.769.014,1.911.729.736,2.170.004.815
18.473.789,16.997.496,1.632.247,16.076.908,15.976.444,1.911.729.446,2.155.722.017
19.092.854,17.221.594,16.518.875,16.250.526,16.085.226,1.912.100.478,2.174.942.711
18.841.082,1.644.721,15.551.719,15.307.323,15.095.757,1.912.102.541,2.165.315.233
18.721.169,17.674.139,17.357.559,17.248.528,17.174.232,1.912.358.031,2.161.276.372
20.338.554,17.797.379,16.636.133,16.203.766,15.912.495,1.911.868.626,2.168.552.318
19.768.955,17.079.082,15.865.525,15.419.294,1.510.392,1.912.365.639,2.174.947.656
18.252.209,16.979.406,16.548.143,16.405.664,16.485.363,1.906.737.984,2.210.690.798
19.303.219,17.561.243,16.892.946,16.588.758,16.482.594,1.910.511.476,2.216.034.485
18.556.704,16.630.219,15.882.661,15.621.736,15.479.374,191.049.883,2.197.533.581
18.496.908,16.706.573,16.062.414,15.747.305,15.625.584,1.910.784.639,2.214.106.783
17.439.072,16.285.826,15.803.386,15.548.153,1.543.498,1.910.748.098,2.200.970.054
18.897.018,17.750.933,17.305.387,16.995.716,16.912.634,191.080.505,2.214.444.951
19.386.156,16.921.303,15.919.446,15.489.142,15.263.484,1.911.089.538,219.747.811
18.042.725,16.808.285,16.463.787,16.209.867,16.155.495,1.911.307.393,2.216.387.575
20.051.605,17.535.295,16.211.994,15.539.387,15.188.499,1.910.510.157,2.202.414.727
20.402.138,17.805.317,16.695.927,1.618.198,16.005.438,1.910.665.958,2.212.523.479
2.003.084,17.580.772,16.251.671,15.505.407,15.170.124,1.910.710.582,2.209.022.735
18.563.408,17.701.511,17.523.535,17.332.811,17.372.572,1.911.566.374,2.199.735.728
19.633.629,17.571.426,1.677.309,16.337.502,16.165.028,1.911.814.713,2.199.637.337
18.168.709,16.971.437,16.617.085,16.411.488,16.332.127,1.911.959.133,2.216.808.271
1.804.759,16.618.946,16.131.186,15.891.409,15.780.795,1.912.041.863,221.645.632
18.275.522,17.217.571,1.693.552,16.714.582,16.679.888,1.912.427.906,2.204.637.303
19.958.492,17.471.519,16.319.485,15.633.039,15.338.774,1.911.808.501,2.207.146.214
19.884.989,17.608.097,16.681.717,16.242.912,15.991.819,1.912.306.869,2.212.607.698
1.999.995,17.465.872,16.358.084,15.901.443,15.628.228,1.912.345.042,2.197.046.965
20.281.994,17.617.815,1.636.912,15.827.019,15.585.183,1.906.881.656,2.260.418.205
19.356.993,1.775.074,1.713.689,16.965.557,1.683.847,1.910.538.187,2.257.122.725
19.255.966,16.985.458,1.600.519,1.569.494,15.498.943,1.910.563.299,2.256.660.767
17.998.653,16.307.503,15.655.126,15.518.066,15.391.438,1.910.560.436,2.239.356.058
19.099.028,17.938.686,17.495.502,17.359.409,17.289.848,1.910.635.388,2.247.450.779
18.026.691,16.294.039,15.576.634,15.338.299,15.214.175,1.910.690.184,2.245.920.637
18.762.197,17.743.322,17.381.721,17.226.398,17.187.433,191.090.601,2.256.092.806
19.400.469,17.092.381,15.999.036,15.747.471,15.530.107,1.911.212.551,2.239.261.441
17.470.299,16.363.394,15.873.603,15.817.452,15.754.509,1.911.355.479,2.239.216.879
19.355.095,16.897.991,1.574.481,15.220.704,1.504.182,1.911.502.728,2.250.627.287
20.350.952,17.992.836,16.617.006,15.655.707,15.088.962,1.910.863.077,225.654.101
19.476.921,17.555.515,16.754.501,16.435.207,1.633.589,1.911.696.547,22.512.332
17.458.475,1.635.149,15.882.505,15.699.332,15.702.744,1.911.767.099,2.255.489.772
18.605.978,17.364.426,16.904.215,16.691.803,16.671.141,1.911.743.548,2.247.183.898
18.405.638,17.168.764,16.596.067,16.384.918,16.311.436,1.911.896.734,225.111.069
19.578.341,17.403.507,16.517.321,16.183.256,16.026.484,1.912.241.709,2.245.416.614
18.892.992,17.221.434,16.579.449,16.323.738,16.358.353,1.906.806.964,2.287.836.729
1.839.711,17.449.129,1.720.207,17.142.019,17.139.328,1.910.500.359,2.287.512.551
17.342.163,15.941.464,15.372.243,15.195.878,15.166.299,1.910.748.837,228.993.467
16.374.569,15.471.031,15.171.388,15.062.037,15.088.154,1.910.884.681,2.295.969.504
18.554.193,17.467.476,17.118.605,16.995.247,17.010.393,1.910.894.686,2.296.253.258
18.768.541,16.522.223,15.579.304,15.273.549,15.190.332,1.911.251.189,229.305.059
16.935.047,15.715.075,15.531.383,15.078.588,15.083.022,1.911.601.757,2.283.846.336
20.520.208,17.957.649,16.591.198,15.903.583,15.575.952,1.910.820.337,2.283.540.094
20.503.239,17.982.378,16.656.061,16.070.751,15.809.374,1.910.899.371,2.294.078.207
18.770.275,1.729.917,16.759.811,16.479.399,16.431.795,1.911.913.296,2.288.975.985
18.162.397,17.183.365,16.653.971,1.652.009,16.384.861,1.910.639.229,2.322.804.118
19.138.868,17.951.372,17.549.961,17.328.224,17.311.972,1.911.396.778,2.341.162.279
18.832.193,17.612.762,17.193.039,17.014.259,17.010.103,1.911.402.399,2.331.545.427
20.159.527,17.554.544,16.217.922,15.643.605,15.339.176,1.911.044.099,2.327.730.369
18.301.359,16.487.696,15.745.248,15.385.842,15.292.272,1.912.047.251,2.340.648.073
19.524.788,17.055.498,15.937.273,15.494.041,15.292.987,1.912.539.211,2.325.813.425
1.856.284,16.635.542,15.924.268,15.705.084,15.572.855,1.906.742.107,2.370.395.919
19.962.545,17.300.341,15.976.064,15.435.549,15.109.473,1.906.803.781,2.370.700.468
2.006.356,17.742.075,16.684.015,16.267.012,16.094.151,1.910.634.492,2.375.432.851
19.702.431,17.716.082,16.884.094,1.656.184,1.643.627,191.086.743,2.372.223.433
17.814.764,16.225.655,1.560.886,15.405.337,1.531.272,1.911.606.259,2.370.511.014
18.538.357,17.667.641,17.403.715,17.326.649,17.329.044,1.911.644.223,2.368.643.093
18.823.359,17.537.334,17.040.724,16.881.784,16.772.617,1.911.911.955,2.380.598.834
20.245.621,17.668.583,16.573.082,16.184.881,16.017.153,1.910.864.434,2.369.382.785
20.594.685,17.974.157,1.679.104,16.369.337,16.144.684,1.911.562.275,2.378.396.582
18.460.613,17.065.107,16.601.826,16.457.659,16.384.924,1.912.373.309,2.378.264.058
18.769.606,17.789.917,17.531.723,17.441.166,17.389.318,1.912.532.641,2.380.754.828
2.014.176,17.603.767,1.652.421,16.116.367,15.876.539,1.912.447.171,2.380.559.615
18.386.747,1.681.315,16.240.746,16.027.111,15.949.431,1.907.013.571,2.419.315.675
1.918.166,17.683.208,17.024.996,1.675.436,1.660.675,1.910.549.491,2.419.625.496
16.545.752,15.517.986,15.481.849,15.527.257,15.639.956,191.059.638,2.422.802.408
17.359.455,16.029.949,15.531.037,15.337.352,15.310.028,1.910.618.061,2.417.995.307
18.806.084,17.299.265,16.800.846,16.540.621,16.468.853,1.910.938.105,2.403.828.762
17.941.631,16.991.249,16.702.251,16.575.872,16.585.678,1.911.009.054,2.412.306.862
17.733.646,16.379.099,15.878.439,15.671.579,15.612.978,1.911.046.666,2.419.400.117
18.372.978,17.155.874,16.707.315,16.501.534,16.467.394,1.911.094.861,2.421.402.395
1.875.701,16.809.223,16.112.444,15.811.888,15.690.301,1.911.053.787,2.407.985.451
16.873.854,15.687.098,15.295.036,15.105.042,15.154.655,1.911.088.615,2.412.956.892
18.229.164,17.046.139,16.591.043,16.395.626,16.340.975,191.121.204,2.423.040.677
19.445.921,17.118.238,16.184.202,15.857.033,15.723.609,1.911.222.769,2.414.350.057
19.012.926,17.982.103,17.598.537,1.740.637,17.337.458,19.115.353,2.410.308.956
18.047.129,16.941.648,16.534.838,16.405.008,16.328.917,1.911.766.031,2.421.483.785
17.855.316,16.853.815,16.477.104,16.350.605,16.278.399,1.912.494.574,2.409.505.925
16.940.155,15.721.719,15.272.727,15.154.066,15.079.287,1.906.903.933,246.132.636
20.732.689,17.919.449,16.584.118,16.006.479,15.667.503,1.906.921.378,2.463.678.048
18.458.862,1.642.676,15.653.419,15.355.478,1.526.435,1.910.541.964,2.453.112.944
19.034.365,17.798.698,17.323.364,17.169.495,17.171.095,191.113.261,2.448.000.259
18.983.829,17.337.402,16.655.283,16.414.982,16.300.587,1.911.928.458,2.452.773.328
18.438.545,17.591.347,17.348.499,17.247.177,17.254.059,1.911.953.877,2.455.805.416
19.362.185,17.509.956,16.731.485,16.489.845,16.327.606,1.912.500.477,2.465.481.248
19.334.143,17.827.431,17.224.497,17.004.972,16.882.502,1.910.596.675,2.495.868.594
17.282.129,16.039.207,15.617.891,15.477.734,15.453.197,1.911.215.794,2.498.165.741
19.418.926,17.708.441,1.705.916,16.848.188,16.736.959,1.911.212.371,2.497.855.566
18.487.442,17.339.376,16.941.078,16.824.547,16.782.476,1.911.325.804,24.996.553
191.213,17.540.951,16.876.797,16.623.207,1.649.383,1.911.380.621,2.498.986.832
17.394.384,16.025.688,15.487.206,15.263.678,15.194.634,1.907.002.535,2.002.369.776
19.614.685,17.314.728,16.411.728,16.113.201,15.953.671,1.910.540.611,2.006.488.776
17.224.884,16.010.944,15.591.247,15.438.014,15.392.925,1.910.957.717,2.010.545.685
17.440.556,16.443.569,16.102.448,15.992.282,1.597.515,1.911.705.776,2.005.017.587
17.874.359,16.654.161,16.185.169,16.031.345,15.964.493,1.911.892.025,2.006.778.298
20.319.883,17.510.954,16.108.788,15.413.772,15.026.958,1.910.702.931,2.007.092.191
1.921.073,1.758.234,16.984.941,16.686.371,16.549.389,1.912.266.735,200.174.547
19.058.268,17.261.463,16.561.222,1.630.011,1.619.171,1.910.745.822,2.046.048.073
19.114.727,16.706.335,15.783.058,15.451.832,15.316.205,1.911.015.681,2.042.650.421
19.063.362,17.630.247,17.070.499,16.817.726,1.666.144,1.909.172.374,2.026.305.843
19.914.606,17.946.947,17.162.756,16.886.648,16.728.455,1.909.250.448,2.015.249.833
17.131.992,16.035.931,15.679.215,15.544.038,15.457.948,1.909.385.756,2.025.613.576
18.404.642,17.191.195,1.669.104,16.455.196,16.311.653,1.909.367.342,2.016.977.726
19.739.941,17.236.933,16.131.706,15.659.871,1.542.852,1.909.505.875,2.012.981.087
17.714.008,16.578.712,1.614.032,16.032.732,15.990.973,1.907.994.592,2.074.406.977
19.910.597,17.285.496,16.186.165,15.771.858,15.570.065,1.907.993.318,2.065.794.534
18.896.717,17.633.652,17.186.947,17.042.662,16.969.503,1.908.367.419,2.055.985.942
18.219.246,17.172.844,16.842.581,16.739.931,16.697.998,1.909.229.922,2.055.129.451
18.941.366,16.829.342,1.588.397,1.563.166,15.426.311,1.909.421.893,2.070.425.855
18.609.951,16.957.067,16.336.628,16.142.218,15.923.872,1.909.472.887,2.060.205.424
18.875.116,16.651.415,15.816.942,15.506.072,15.459.438,1.906.325.252,2.108.746.666
1.910.626,17.479.492,16.838.602,16.570.435,16.400.732,1.907.782.665,2.095.921.984
19.068.998,17.319.166,16.660.234,16.394.453,16.270.941,1.908.222.362,2.101.194.824
18.484.415,17.155.748,16.675.203,16.457.041,16.340.822,1.909.092.782,2.097.843.609
17.101.233,15.842.694,15.384.641,15.213.124,15.157.737,1.909.310.707,2.106.510.134
17.516.682,16.292.208,15.996.422,15.834.192,15.760.755,1.909.383.247,2.096.196.543
19.008.406,17.710.258,17.226.461,17.007.418,16.917.566,1.909.480.855,2.098.238.497
18.607.033,17.427.622,17.006.622,16.829.556,16.815.201,1.909.522.249,2.393.630.957
18.197.527,16.749.048,16.253.387,16.021.959,15.935.809,1.909.532.315,2.385.534.842
17.910.412,16.952.801,1.670.743,16.700.024,16.709.084,1.917.511.877,2.390.491.978
19.294.374,17.876.463,17.351.671,17.141.788,17.074.068,1.917.514.073,2.384.094.406
18.708.532,16.640.657,15.831.549,15.557.104,15.425.186,1.917.613.171,2.382.244.842
16.580.381,15.541.878,15.383.875,15.327.084,15.376.861,1.917.964.027,2.397.205.446
18.067.993,17.187.599,16.959.091,16.827.894,16.873.032,1.918.169.146,2.398.214.352
19.088.224,17.959.293,17.605.112,17.426.792,17.377.821,1.918.408.936,2.389.589.972
19.082.388,17.595.409,1.701.339,1.680.015,16.704.445,1.918.404.894,2.383.464.502
17.992.229,16.696.901,16.195.732,16.015.135,15.943.236,1.918.439.437,2.384.536.782
17.536.232,16.492.794,16.123.819,1.600.214,15.963.488,191.852.539,2.383.552.832
18.344.881,17.252.991,16.906.946,16.775.114,16.766.146,1.918.691.394,239.992.217
20.107.168,17.452.602,16.306.208,15.857.484,15.636.906,1.918.534.716,2.395.088.028
17.243.414,16.251.978,15.917.618,15.784.132,1.576.437,1.923.634.715,2.395.659.579
16.555.853,1.553.845,15.140.965,15.050.004,1.502.102,1.923.650.817,2.378.076.485
17.387.949,1.597.389,15.593.757,15.406.211,15.365.772,1.909.605.417,2.425.611.072
1.919.706,16.982.613,16.086.437,15.750.443,15.578.966,1.909.627.013,24.307.261
17.667.658,16.221.661,15.675.178,15.499.849,15.448.511,1.917.693.044,2.436.385.954
19.095.703,17.775.198,17.249.838,1.701.539,16.892.654,1.917.851.183,2.433.838.502
17.636.768,16.423.153,15.945.085,15.758.693,15.699.416,191.787.835,2.430.405.939
17.039.492,1.582.941,15.369.453,15.101.409,15.150.177,1.917.935.557,2.422.735.316
19.580.158,17.083.254,15.974.107,15.539.187,15.311.101,1.918.155.029,2.439.386.771
19.144.554,1.798.542,17.516.623,17.337.221,17.192.665,1.918.110.836,2.427.253.577
20.158.285,17.753.267,16.717.949,16.326.279,16.117.373,1.917.669.808,2.438.028.124
18.368.462,16.806.135,16.201.311,15.977.212,15.880.581,1.918.551.404,2.431.110.866
17.195.875,16.233.786,15.807.442,15.639.302,15.567.152,1.918.756.356,2.426.178.774
1.842.782,16.912.754,16.361.416,16.132.385,16.045.834,1.918.896.526,2.440.544.067
18.317.036,16.712.038,16.129.862,15.934.852,1.585.603,1.919.074.912,2.440.109.878
19.109.001,17.964.281,17.466.331,17.232.704,17.115.311,1.919.097.628,2.440.938.445
1.850.824,17.124.382,16.516.991,16.285.011,16.173.904,1.919.013.955,2.422.185.796
18.386.604,16.833.483,16.229.839,16.026.594,15.909.485,1.919.195.874,2.437.168.262
17.971.617,16.772.078,16.244.465,1.614.167,1.604.162,1.909.618.807,2.468.308.592
20.404.469,17.895.018,16.570.715,15.900.909,15.568.689,1.917.564.333,2.465.468.848
17.506.985,16.332.741,15.867.132,15.651.032,15.609.756,1.917.912.312,2.471.683.185
1.970.896,17.622.906,16.799.257,16.473.122,16.316.999,1.918.415.316,2.468.106.625
1.770.714,16.681.047,16.258.648,16.167.425,1.609.997,1.918.829.143,2.463.695.242
19.143.965,17.720.137,17.191.532,1.704.879,16.949.451,1.919.104.435,2.470.081.365
17.309.479,15.997.071,15.439.529,15.214.896,15.116.944,191.930.959,2.479.041.092
19.868.395,17.941.383,17.112.812,16.801.115,16.611.519,1.909.561.576,2.140.441.816
1.806.468,1.714.761,16.826.334,16.691.996,16.678.314,1.909.571.336,2.138.712.421
19.079.908,17.863.901,17.383.957,17.216.736,17.178.274,1.909.643.221,2.153.715.053
19.749.163,17.939.034,1.714.031,16.839.239,16.670.332,1.909.598.572,213.915.706
17.356.783,16.045.115,1.546.599,15.282.339,15.221.478,1.918.061.765,2.143.777.541
19.283.461,17.872.824,17.353.914,17.154.518,17.058.239,1.918.561.499,2.137.710.427
19.260.662,17.112.787,16.175.095,1.580.757,15.576.092,1.918.964.709,2.133.825.914
17.391.651,16.515.991,16.218.134,16.148.136,16.102.558,1.919.327.847,2.145.017.704
18.479.614,17.239.408,16.683.662,16.552.332,16.459.858,1.919.328.817,214.017.609
17.882.816,16.678.679,16.138.201,15.919.856,15.843.227,1.923.682.779,2.137.463.313
19.180.489,17.201.141,16.441.563,16.149.239,16.000.711,1.909.509.368,2.180.696.435
19.927.267,17.953.529,17.177.216,16.901.243,16.743.523,1.909.601.522,2.182.555.666
16.904.531,15.858.303,15.578.345,15.489.194,15.508.348,1.917.532.665,2.176.475.607
1.931.164,1.685.483,15.699.811,15.253.738,15.031.583,1.917.688.177,2.189.806.378
19.654.243,17.294.878,16.274.881,15.869.158,15.687.934,1.918.134.503,2.179.076.535
17.160.433,16.001.724,15.580.529,15.421.988,15.417.516,1.918.257.608,2.180.915.201
1.868.667,16.896.111,16.263.474,16.014.357,15.932.581,1.918.419.802,2.173.080.465
20.278.357,17.690.928,16.236.546,15.478.326,15.063.001,1.917.825.372,2.192.642.693
18.419.254,17.312.496,16.970.453,16.800.238,16.745.672,1.918.722.005,2.180.190.651
18.868.168,16.923.716,16.118.526,15.808.326,15.608.741,1.918.873.999,2.192.568.417
18.806.326,1.765.086,17.101.616,16.880.239,16.756.645,191.931.867,2.191.012.968
19.100.609,17.472.816,16.792.145,16.577.488,16.437.208,1.919.326.765,2.187.931.945
18.334.023,17.089.426,16.546.385,16.378.775,16.283.373,1.904.176.564,2.024.603.907
20.347.769,17.986.078,16.854.738,16.480.663,16.255.264,1.904.075.476,2.026.221.534
18.363.394,16.970.592,16.427.483,16.231.785,1.615.115,1.908.677.276,2.031.377.312
1.918.878,17.531.282,16.907.623,16.690.434,16.551.718,1.908.712.904,202.795.229
19.847.364,1.724.509,15.934.175,15.400.866,15.099.008,1.908.847.891,2.012.786.655
18.107.197,1.680.504,16.341.192,16.157.768,16.082.792,190.900.644,2.027.687.542
1.912.538,1.705.549,16.235.596,15.890.477,15.657.756,1.909.920.985,2.021.123.924
20.089.628,17.589.315,1.647.744,16.022.335,15.809.688,1.909.911.596,2.011.127.934
18.959.904,17.409.082,16.804.071,16.587.681,16.453.697,1.908.444.502,205.396.098
19.386.332,17.165.709,16.104.626,15.714.547,15.468.678,1.908.564.542,2.069.996.984
