u_mag,g_mag,r_mag,i_mag,z_mag,ra,dec
17.447.767,1.636.467,15.968.935,15.833.528,15.816.798,1.902.272.608,219.922.482
18.309.288,1.706.251,16.582.167,16.476.725,16.445.967,1.902.361.535,2.198.213.282
16.575.773,15.536.152,15.290.542,15.261.177,15.246.288,190.271.424,2.180.925.815
17.396.103,15.988.919,15.440.855,15.311.033,15.233.733,1.902.249.284,2.221.174.889
16.489.403,15.593.719,15.322.464,15.212.375,15.209.255,1.902.138.965,226.273.063
19.431.475,17.606.253,16.930.393,16.690.716,16.571.079,1.900.094.538,2.491.294.993
19.718.739,17.154.484,15.940.581,1.544.558,15.164.865,1.900.098.373,2.146.953.269
18.100.574,16.714.283,1.621.068,16.045.671,15.950.493,1.900.098.771,2.071.718.473
19.337.622,17.751.345,17.119.579,16.910.877,16.790.203,1.900.106.968,2.421.773.622
19.389.559,17.894.838,17.359.303,17.205.538,17.123.497,1.900.111.614,2.396.263.761
1.959.738,1.729.841,1.628.583,15.967.102,15.767.521,190.011.355,2.441.691.834
17.393.667,16.348.822,15.954.556,15.867.131,15.791.762,1.900.353.458,2.226.374.201
19.025.877,17.560.934,16.993.856,16.764.149,16.675.545,1.900.365.657,2.222.617.568
19.353.508,17.469.404,1.673.657,1.650.794,16.404.909,1.900.457.381,2.313.052.081
19.792.475,17.916.193,17.217.405,16.913.479,16.735.783,1.900.459.716,2.091.691.158
19.584.988,17.967.983,17.285.786,17.010.534,16.882.269,1.900.470.765,202.869.452
17.443.365,16.130.278,15.667.394,15.508.835,15.474.994,1.900.712.395,2.443.249.185
18.561.205,17.486.151,17.106.453,17.006.241,16.952.095,1.900.704.539,2.489.509.276
1.886.595,17.404.913,16.809.164,16.614.233,16.507.412,1.900.712.997,2.353.902.817
18.199.003,17.288.952,17.000.435,16.914.324,16.901.695,1.900.849.544,2.360.957.704
18.520.269,17.075.392,1.660.331,16.420.307,16.341.383,1.901.008.249,224.438.842
19.266.644,17.807.716,17.317.144,17.085.518,17.054.394,1.900.790.251,2.303.897.496
19.488.113,17.807.816,1.731.259,17.056.248,16.858.097,1.901.006.505,2.338.002.031
19.184.511,1.715.844,16.373.819,16.076.435,15.947.939,19.008.517,2.378.739.991
1.850.226,17.116.783,16.632.059,16.470.184,16.408.661,1.900.473.469,2.468.539.661
18.612.743,17.281.353,16.771.715,16.581.823,16.525.845,1.900.475.608,2.469.150.084
17.716.084,16.686.218,16.324.848,16.219.728,16.140.064,1.901.004.272,2.051.216.924
17.865.158,16.206.303,15.555.446,15.298.624,15.151.584,1.900.707.965,2.081.147.644
17.996.689,16.539.757,15.978.692,15.790.077,157.082,190.082.964,2.077.473.721
1.916.802,17.726.727,17.070.442,16.787.985,16.650.181,190.083.158,2.030.884.984
19.380.472,17.914.238,17.338.562,17.105.576,16.988.804,1.900.785.446,2.014.674.364
19.334.618,17.813.583,17.189.388,16.936.211,16.838.249,1.901.554.124,2.402.795.951
17.959.198,16.586.451,16.011.574,1.575.173,1.569.404,1.901.603.316,2.388.234.034
18.979.599,17.057.037,16.257.803,15.941.063,15.763.824,1.901.628.133,2.484.962.705
18.834.566,17.888.374,17.618.376,17.505.054,17.464.441,1.901.012.476,214.084.269
18.394.674,17.485.073,17.209.059,17.139.153,17.118.004,1.901.609.544,2.157.299.423
19.185.345,1.730.707,16.601.259,16.393.364,16.253.302,1.901.643.391,2.192.770.496
1.789.365,16.014.212,15.326.594,15.122.463,15.007.486,1.901.770.772,2.193.991.979
17.360.006,16.083.242,15.617.717,15.458.741,15.408.022,190.201.635,2.192.824.761
1.783.485,16.490.793,15.952.526,15.774.964,15.716.972,190.185.446,2.307.250.469
19.663.969,17.160.213,1.598.983,15.577.009,15.340.199,1.902.014.906,231.026.322
18.530.085,16.493.641,1.572.429,15.429.799,1.532.674,1.901.546.013,2.352.511.212
18.939.505,17.536.751,17.036.549,16.837.742,16.788.017,1.901.651.112,2.120.183.512
19.494.858,17.285.816,16.428.535,16.060.675,15.926.153,1.901.585.113,2.133.147.751
19.555.836,17.624.506,16.995.047,16.757.963,16.708.145,1.901.564.183,212.402.627
19.386.648,17.919.657,17.335.615,17.052.179,16.939.484,1.901.555.266,2.120.799.724
1.976.498,17.137.611,15.980.868,15.555.082,15.354.228,1.901.749.483,2.118.238.731
19.614.656,1.719.899,16.123.474,15.681.391,15.527.957,1.901.869.219,2.166.237.893
16.942.945,15.641.142,15.207.497,15.068.702,15.072.128,1.901.861.435,2.215.632.021
16.869.745,15.680.593,15.277.184,1.520.057,15.196.803,1.901.622.472,2.250.217.159
18.517.517,16.816.099,16.217.804,15.991.133,15.949.443,1.901.747.073,2.260.247.678
19.057.924,17.814.562,17.395.422,1.726.519,17.277.548,1.901.752.555,2.258.591.223
1.862.578,17.620.932,173.902,17.329.327,17.338.968,1.901.590.991,2.284.116.702
19.869.886,17.362.816,16.249.971,15.807.895,15.658.381,1.901.872.784,2.296.401.791
20.412.039,17.848.854,16.386.599,15.582.955,1.518.599,190.174.828,2.301.508.603
18.964.687,17.373.672,16.819.902,16.589.773,16.447.655,1.901.757.833,2.343.299.737
1.831.374,16.780.579,16.283.318,1.612.479,16.093.487,1.901.911.938,2.335.880.518
19.036.953,1.790.136,17.707.554,17.606.346,17.714.857,1.901.926.875,2.326.744.544
17.318.247,1.623.003,15.864.549,15.725.733,15.704.926,1.901.629.509,2.413.871.695
1.766.699,1.607.902,15.538.475,15.366.304,15.313.726,1.901.009.954,2.460.883.537
17.847.031,16.625.347,16.174.049,15.996.408,15.917.717,1.901.639.588,2.495.102.546
1.889.048,16.755.863,15.922.439,15.633.537,15.506.411,1.901.872.668,2.006.570.578
18.032.488,1.686.618,16.488.537,16.359.398,16.272.497,1.901.941.625,2.114.229.392
19.212.795,17.986.967,17.498.785,17.342.072,17.261.414,1.903.048.941,2.404.548.922
16.984.034,1.583.876,15.480.555,15.334.954,1.529.448,1.903.452.405,2.397.480.407
17.950.193,16.742.523,16.330.845,16.132.423,16.119.759,1.904.260.864,2.393.638.655
17.654.612,16.599.854,16.235.828,16.086.149,16.074.078,1.904.381.532,238.586.799
18.966.906,16.981.459,16.265.497,15.917.465,15.784.346,190.295.692,244.012.874
1.960.099,17.059.505,15.932.835,15.491.552,15.250.054,1.903.350.557,2.434.963.022
17.686.111,16.209.719,15.663.004,15.463.229,15.367.812,1.904.313.447,2.443.486.517
17.757.172,16.700.733,16.359.209,16.203.417,16.186.184,1.903.269.059,2.474.235.579
19.276.587,17.987.371,17.488.018,17.296.738,17.213.753,1.903.414.519,2.475.051.406
18.493.355,16.787.767,16.120.825,15.896.061,15.761.302,1.903.417.766,2.472.716.365
